prefecture_code,prefecture_name,prefecture_name_en,region_name,region_name_en
01,北海道,Hokkaido,北海道地方,Hokkaido
02,青森県,Aomori,東北地方,Tohoku
03,岩手県,Iwate,東北地方,Tohoku
04,宮城県,Miyagi,東北地方,Tohoku
05,秋田県,Akita,東北地方,Tohoku
06,山形県,Yamagata,東北地方,Tohoku
07,福島県,Fukushima,東北地方,Tohoku
08,茨城県,Ibaraki,関東地方,Kanto
09,栃木県,Tochigi,関東地方,Kanto
10,群馬県,Gunma,関東地方,Kanto
11,埼玉県,Saitama,関東地方,Kanto
12,千葉県,Chiba,関東地方,Kanto
13,東京都,Tokyo,関東地方,Kanto
14,神奈川県,Kanagawa,関東地方,Kanto
15,新潟県,Niigata,中部地方,Chubu
16,富山県,Toyama,中部地方,Chubu
17,石川県,Ishikawa,中部地方,Chubu
18,福井県,Fukui,中部地方,Chubu
19,山梨県,Yamanashi,中部地方,Chubu
20,長野県,Nagano,中部地方,Chubu
21,岐阜県,Gifu,中部地方,Chubu
22,静岡県,Shizuoka,中部地方,Chubu
23,愛知県,Aichi,中部地方,Chubu
24,三重県,Mie,近畿地方,Kinki
25,滋賀県,Shiga,近畿地方,Kinki
26,京都府,Kyoto,近畿地方,Kinki
27,大阪府,Osaka,近畿地方,Kinki
28,兵庫県,Hyogo,近畿地方,Kinki
29,奈良県,Nara,近畿地方,Kinki
30,和歌山県,Wakayama,近畿地方,Kinki
31,鳥取県,Tottori,中国地方,Chugoku
32,島根県,Shimane,中国地方,Chugoku
33,岡山県,Okayama,中国地方,Chugoku
34,広島県,Hiroshima,中国地方,Chugoku
35,山口県,Yamaguchi,中国地方,Chugoku
36,徳島県,Tokushima,四国地方,Shikoku
37,香川県,Kagawa,四国地方,Shikoku
38,愛媛県,Ehime,四国地方,Shikoku
39,高知県,Kochi,四国地方,Shikoku
40,福岡県,Fukuoka,九州地方,Kyushu
41,佐賀県,Saga,九州地方,Kyushu
42,長崎県,Nagasaki,九州地方,Kyushu
43,熊本県,Kumamoto,九州地方,Kyushu
44,大分県,Oita,九州地方,Kyushu
45,宮崎県,Miyazaki,九州地方,Kyushu
46,鹿児島県,Kagoshima,九州地方,Kyushu
47,沖縄県,Okinawa,九州地方,Kyushu
