year,birth,stillbirth,early_neonatal_death,neonatal_death,infant_death
1899,1386981,,,108077,213359
1900,1420534,,,112259,220211
1901,1501591,,,115794,225107
1902,1510835,,,116654,232652
1903,1489816,,,112909,226982
1904,1440371,,,106477,218756
1905,1452770,,,103382,220450
1906,1394295,,,105307,214148
1907,1614472,,,118617,244300
1908,1662815,,,123867,262801
1909,1693850,,,129629,283436
1910,1712857,,,126910,276136
1911,1747803,,,127302,276798
1912,1737674,,,123902,268025
1913,1757441,,,124213,267281
1914,1808402,,,125745,286678
1915,1799326,,,125337,288634
1916,1804822,,,132000,307283
1917,1812413,,,139717,313872
1918,1791992,,,145710,337919
1919,1778685,,,129072,303202
1920,2025564,,,139681,335613
1921,1990876,,,136342,335143
1922,1969314,,,132856,327604
1923,2043297,,,135504,333930
1924,1998520,,,126385,312267
1925,2086091,,,121238,297008
1926,2104405,,,119642,289275
1927,2060737,,,116240,292084
1928,2135852,,,115682,293881
1929,2077026,,,115009,295178
1930,2085101,,,104101,258703
1931,2102784,,,108812,276584
1932,2182742,,,104573,256505
1933,2121253,,,102887,257251
1934,2043783,,,103408,255063
1935,2190704,,,97994,233706
1936,2101969,,,101043,245357
1937,2180734,,,95465,230701
1938,1928321,,,89159,220695
1939,1901573,,,84204,202018
1940,2115867,,,81869,190509
1941,2277283,,,77829,191420
1942,2233660,,,76177,190897
1943,2253535,,,76588,195219
1947,2678792,,,84204,205360
1948,2681624,,,73855,165406
1949,2696638,,,72432,168467
1950,2337507,,,64142,140515
1951,2137689,,,58686,122869
1952,2005162,,,51015,99114
1953,1868040,,,47580,91424
1954,1769580,,,42726,78944
1955,1730692,,,38646,68801
1956,1665278,,,38232,67691
1957,1566713,,,33847,62678
1958,1653469,,,32237,57052
1959,1626088,,,30235,54768
1960,1606041,,,27362,49293
1961,1589372,,,26255,45465
1962,1618616,,,24777,42797
1963,1659521,,,22965,38442
1964,1716761,,,21344,34967
1965,1823697,,,21260,33742
1966,1360974,,,16296,26217
1967,1935647,,,19248,28928
1968,1871839,,,18326,28600
1969,1889815,,,17116,26874
1970,1934239,,,16742,25412
1971,2000973,,,16450,24805
1972,2038682,,,15817,23773
1973,2091983,,,15473,23683
1974,2029989,,,14472,21888
1975,1901440,,,12912,19103
1976,1832617,,,11638,17105
1977,1755100,,,10773,15666
1978,1708643,,,9628,14327
1979,1642580,29289,6901,8590,12923
1980,1576889,26268,6154,7796,11841
1981,1529455,24672,5602,7188,10891
1982,1515392,23137,5067,6425,9969
1983,1508687,21354,4571,5894,9406
1984,1489780,20875,4274,5527,8920
1985,1431577,18642,3737,4910,7899
1986,1382946,17143,3246,4296,7251
1987,1346658,15634,3065,3933,6711
1988,1314006,14090,2749,3592,6265
1989,1246802,12797,2386,3214,5724
1990,1221585,11367,2337,3179,5616
1991,1223245,8258,2168,2978,5418
1992,1208989,7758,2130,2905,5477
1993,1188282,7191,2035,2765,5169
1994,1238328,7200,2086,2889,5261
1995,1187064,6580,1832,2615,5054
1996,1206555,6333,1747,2438,4546
1997,1191665,6009,1615,2307,4403
1998,1203147,5804,1643,2353,4380
1999,1177669,5567,1535,2137,4010
2000,1190547,5362,1519,2106,3830
2001,1170662,5114,1362,1909,3599
2002,1153855,4959,1374,1937,3497
2003,1123610,4626,1303,1879,3364
2004,1110721,4357,1184,1622,3122
2005,1062530,4058,1091,1510,2958
2006,1092674,4047,1053,1444,2864
2007,1089818,3854,1052,1434,2828
2008,1091156,3751,969,1331,2798
2009,1070036,3645,874,1254,2556
2010,1071305,3637,878,1167,2450
2011,1050807,3491,824,1147,2463
2012,1037232,3343,790,1065,2299
2013,1029817,3110,752,1026,2185
2014,1003609,3040,711,952,2080
2015,1005721,3064,665,902,1916
2016,977242,2841,677,875,1929
2017,946146,2683,626,833,1762
2018,918400,2385,614,801,1748
2019,865239,2377,578,755,1654
2020,840835,2112,552,704,1512
